match_id,name,status,begin_at,end_at,number_of_games,match_type,league_id,league,serie_id,serie,tournament_id,tournament,team1_id,team1,team2_id,team2,winner_id,winner
1572130,Upper bracket round 1 match 1: BB vs mellren,canceled,,,3,best_of,5232,CCT Europe,10766,Contenders #6 2026,21377,Playoffs,138288,Basement Bobs,138400,mellren,138400.0,mellren
1562200,Decider match: LDP vs HAT,finished,,,3,best_of,4554,Gamers Club Liga Série A,10694,June 2026,21222,Group B,131848,largadosypelados,138796,HATERS,138796.0,HATERS
1555295,Elimination match: NEXORA vs CSH.P,canceled,,,3,best_of,5531,GLuck Yungstar,10738,Closed Qualifier: Series #2 2026,21301,Group D,138845,NEXORA,137500,CYBERSHOKE Prospects,138845.0,NEXORA
1555293,CSH.P vs WING,canceled,,,3,best_of,5531,GLuck Yungstar,10738,Closed Qualifier: Series #2 2026,21301,Group D,137500,CYBERSHOKE Prospects,135326,Wingman,135326.0,Wingman
1555290,Elimination match: ARGOS vs MONSTROUS,canceled,,,3,best_of,5531,GLuck Yungstar,10738,Closed Qualifier: Series #2 2026,21300,Group B,138847,ARGOS,138846,MONSTROUS,138847.0,ARGOS
1555280,Elimination match: OMG vs SHISHKA,canceled,,,3,best_of,5531,GLuck Yungstar,10738,Closed Qualifier: Series #2 2026,21298,Group A,137584,Omega,138670,SHISHKA,137584.0,Omega
1555117,Round 3: PDAF vs BST.A,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,128624,Patins da Ferrari,135743,BESTIA Academy,128624.0,Patins da Ferrari
1555114,Round 3: MW vs ex-Vexa,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,138086,METANOIA WOLVES,138892,ex-Vexa,138892.0,ex-Vexa
1555112,Round 3: MIBR.A vs MAG,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,129800,MIBR Academy,136596,MAGICOS,129800.0,MIBR Academy
1555111,Round 3: PCY vs ex-KRÜ Esports,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,128378,Procyon Gaming,138029,ex-KRÜ Esports,128378.0,Procyon Gaming
1555110,Round 3: BK vs VSC,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,138033,Blitzkrieg,137320,Vasco Esports,138033.0,Blitzkrieg
1555104,Round 2: ex-Vexa vs ex-KRÜ Esports,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,138892,ex-Vexa,138029,ex-KRÜ Esports,138892.0,ex-Vexa
1555103,Round 2: MW vs VSC,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,138086,METANOIA WOLVES,137320,Vasco Esports,138086.0,METANOIA WOLVES
1555101,Round 1: ex-KRÜ Esports vs MAG,canceled,,,3,best_of,4842,CCT South America,10737,Series 3 2026,21293,Group Stage,138029,ex-KRÜ Esports,136596,MAGICOS,136596.0,MAGICOS
