Name,Date,Tm,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Gabriel Rincones Jr.,"Jul 10, 2026",PHI,DET,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,,,,,687282
Brandon Marsh,"Jul 10, 2026",PHI,DET,1,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,669016
Bryce Harper,"Jul 10, 2026",PHI,DET,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,547180
Alec Bohm,"Jul 10, 2026",PHI,DET,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,664761
Bryson Stott,"Jul 10, 2026",PHI,DET,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,,,,,681082
Kyle Schwarber,"Jul 10, 2026",PHI,DET,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,656941
Rafael Marchán,"Jul 10, 2026",PHI,DET,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,665561
Trea Turner,"Jul 10, 2026",PHI,DET,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,607208
Derek Hill,"Jul 10, 2026",PHI,DET,1,4,4,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,,,,,656537
Zach McKinstry,"Jul 10, 2026",DET,PHI,1,4,3,1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,,,,,656716
Riley Greene,"Jul 10, 2026",DET,PHI,1,4,1,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,,,,,682985
Eduardo Valencia,"Jul 10, 2026",DET,PHI,1,4,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,,,,,680664
Kevin McGonigle,"Jul 10, 2026",DET,PHI,1,5,5,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,,,,,805808
Kerry Carpenter,"Jul 10, 2026",DET,PHI,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,681481
Spencer Torkelson,"Jul 10, 2026",DET,PHI,1,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,,,,,679529
Jake Rogers,"Jul 10, 2026",DET,PHI,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,668670
James Outman,"Jul 10, 2026",DET,PHI,1,4,4,1,1,0,1,0,2,0,0,1,0,0,0,2,0,0,,,,,681546
Matt Vierling,"Jul 10, 2026",DET,PHI,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,663837
Colt Keith,"Jul 10, 2026",DET,PHI,1,5,5,1,1,0,0,1,1,0,0,1,0,0,0,2,0,0,,,,,690993
José Caballero,"Jul 10, 2026",NYY,WSH,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,676609
Amed Rosario,"Jul 10, 2026",NYY,WSH,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,642708
Ryan McMahon,"Jul 10, 2026",NYY,WSH,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,641857
Paul Goldschmidt,"Jul 10, 2026",NYY,WSH,1,5,5,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,,,,,502671
