PLAYER_NAME,BAT_DATE,BAT_TM,BAT_OPP,BAT_G,BAT_PA,BAT_AB,BAT_R,BAT_H,BAT_2B,BAT_3B,BAT_HR,BAT_RBI,BAT_BB,BAT_IBB,BAT_SO,BAT_HBP,BAT_SH,BAT_SF,BAT_GDP,BAT_SB,BAT_CS,BAT_BA,BAT_OBP,BAT_SLG,BAT_OPS,BAT_MLBID,BAT_TB,BAT_H_R_RBI,BAT_HITTER_FANTASY_EST,PIT_DATE,PIT_TM,PIT_OPP,PIT_G,PIT_GS,PIT_W,PIT_L,PIT_SV,PIT_IP,PIT_H,PIT_R,PIT_ER,PIT_BB,PIT_SO,PIT_HR,PIT_HBP,PIT_ERA,PIT_BF,PIT_PIT,PIT_STR,PIT_WHIP,PIT_MLBID,PIT_K_PER_IP,SC_AVG_EXIT_VELO,SC_AVG_LAUNCH_ANGLE,SC_XBA,SC_XSLG,SC_HARD_HIT_RATE,SC_BARREL_RATE_EST,LAST_HIT_RESULT_DATE,LAST_HIT_OPPONENT,LAST_HIT_PA,LAST_HIT_AB,LAST_HIT_H,LAST_HIT_R,LAST_HIT_RBI,LAST_HIT_HR,LAST_HIT_BB,LAST_HIT_HBP,LAST_HIT_SO,LAST_HIT_SB,LAST_HIT_SINGLES,LAST_HIT_DOUBLES,LAST_HIT_TRIPLES,LAST_HIT_TOTAL_BASES,LAST_HIT_H_PLUS_R_PLUS_RBI,LAST_HIT_HITTER_FANTASY_PP,LAST_PIT_RESULT_DATE,LAST_PIT_OPPONENT,LAST_PIT_IP,LAST_PIT_OUTS,LAST_PIT_K,LAST_PIT_ER,LAST_PIT_BB,LAST_PIT_HITS_ALLOWED,LAST_PIT_HR_ALLOWED,LAST_PIT_PITCHES,LAST_PIT_WIN,LAST_PIT_QUALITY_START,LAST_PIT_PITCHER_FANTASY_PP
A.J. EWING,"Jul 10, 2026",NYM,BOS,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,805999.0,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,82.79799999999999,16.28,0.3668846153846153,0.7183461538461539,0.096551724137931,0.0068965517241379,2026-07-10,BOS,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,
A.J. MINTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",NYM,BOS,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,,7.0,26.0,16.0,,621345.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,BOS,1.0,3.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
AARON ASHBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",MIL,PIT,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,,6.0,24.0,15.0,,676879.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,PIT,1.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0
AARON CIVALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",ATH,CWS,1.0,0.0,0.0,1.0,0.0,2.1,6.0,4.0,4.0,1.0,4.0,0.0,0.0,,14.0,58.0,36.0,,650644.0,1.9047619047619049,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,CWS,2.1,7.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
AARON NOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",PHI,DET,1.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,8.0,1.0,0.0,,20.0,84.0,50.0,,605400.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,DET,5.0,15.0,8.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,33.0
ADLEY RUTSCHMAN,"Jul 10, 2026",BAL,KC,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,668939.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,84.89111111111112,20.866666666666667,0.336576923076923,0.4215384615384616,0.088235294117647,0.0,2026-07-10,KC,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,
ALAN RODEN,"Jul 10, 2026",MIN,LAA,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,702176.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,87.58235294117648,21.11764705882353,0.3378571428571429,0.6221428571428571,0.1777777777777777,0.0,2026-07-10,LAA,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ALEC BOHM,"Jul 10, 2026",PHI,DET,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,664761.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,83.56140350877193,20.350877192982452,0.3472222222222222,0.6795555555555555,0.08125,0.0125,2026-07-10,DET,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
ALEC BURLESON,"Jul 10, 2026",STL,ATL,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,676475.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,86.77213114754099,13.475409836065571,0.3247096774193548,0.535258064516129,0.1125,0.0,2026-07-10,ATL,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ALEJANDRO KIRK,"Jul 10, 2026",TOR,SD,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,672386.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,82.04193548387097,21.64516129032258,0.2404736842105263,0.3171052631578948,0.0891089108910891,0.0,2026-07-10,SD,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,7.0,,,,,,,,,,,,,
