Name,Date,Tm,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,WHIP,mlbID
Tim Mayza,"Jul 10, 2026",PHI,DET,1,0,0,1,0,1.0,2,5,4,2,1,0,0,,8,36,20,,641835
Garrett Stubbs,"Jul 10, 2026",PHI,DET,1,0,0,0,0,1.0,0,0,0,0,0,0,0,,3,4,4,,596117
Max Lazar,"Jul 10, 2026",PHI,DET,1,0,0,0,0,1.0,3,3,3,1,0,2,0,,7,16,9,,676661
Aaron Nola,"Jul 10, 2026",PHI,DET,1,1,0,0,0,5.0,3,2,2,2,8,1,0,,20,84,50,,605400
Beau Brieske,"Jul 10, 2026",DET,PHI,1,0,0,0,0,2.0,1,0,0,0,1,0,0,,7,25,21,,689225
Jacob Waguespack,"Jul 10, 2026",DET,PHI,1,0,0,0,0,0.2,1,0,0,0,0,0,0,,4,16,11,,621097
Jack Flaherty,"Jul 10, 2026",DET,PHI,1,1,1,0,0,6.0,2,2,2,3,6,1,1,,24,86,54,,656427
Drew Sommers,"Jul 10, 2026",DET,PHI,1,0,0,0,0,0.1,0,0,0,0,0,0,0,,1,3,1,,805427
Ryan Weathers,"Jul 10, 2026",NYY,WSH,1,1,0,0,0,5.1,6,1,1,0,6,0,0,,23,91,61,,677960
Tim Hill,"Jul 10, 2026",NYY,WSH,1,0,0,0,0,0.1,2,2,2,0,0,2,0,,3,8,7,,657612
Fernando Cruz,"Jul 10, 2026",NYY,WSH,1,0,0,0,0,0.2,0,0,0,0,2,0,0,,2,10,6,,518585
Jake Bird,"Jul 10, 2026",NYY,WSH,1,0,0,0,0,0.2,0,0,0,0,0,0,0,,2,6,4,,656234
David Bednar,"Jul 10, 2026",NYY,WSH,1,0,1,0,0,2.0,0,0,0,0,0,0,1,,7,27,16,,670280
Matt Krook,"Jul 10, 2026",WSH,NYY,1,0,0,1,0,0.1,2,2,2,0,0,1,0,,3,11,7,,640454
Carson Palmquist,"Jul 10, 2026",WSH,NYY,1,1,0,0,0,3.0,3,1,1,0,4,1,0,,12,45,33,,687223
Clayton Beeter,"Jul 10, 2026",WSH,NYY,1,0,0,0,0,0.1,0,0,0,0,1,0,0,,1,7,5,,690925
Justin Lawrence,"Jul 10, 2026",WSH,NYY,1,0,0,0,0,0.2,2,1,1,2,1,1,0,,6,24,11,,664875
Zack Littell,"Jul 10, 2026",WSH,NYY,1,0,0,0,0,4.0,5,1,1,0,5,1,0,,15,69,49,,641793
Tom Cosgrove,"Jul 10, 2026",WSH,NYY,1,0,0,0,0,0.2,1,0,0,1,0,0,0,,3,15,11,,676680
Luinder Avila,"Jul 10, 2026",KC,BAL,1,1,0,0,0,5.0,7,3,3,3,3,1,0,,24,96,57,,679883
Matt Strahm,"Jul 10, 2026",KC,BAL,1,0,0,1,0,1.0,2,2,2,0,2,1,0,,5,22,15,,621381
Daniel Lynch IV,"Jul 10, 2026",KC,BAL,1,0,0,0,0,1.0,0,0,0,0,1,0,0,,3,11,7,,663738
Steven Cruz,"Jul 10, 2026",KC,BAL,1,0,0,0,0,1.0,0,0,0,0,1,0,0,,3,13,10,,674444
Rico Garcia,"Jul 10, 2026",BAL,KC,1,0,1,0,0,1.0,0,0,0,0,1,0,0,,3,16,10,,670329
Brandon Young,"Jul 10, 2026",BAL,KC,1,1,0,0,0,7.0,8,3,3,1,5,2,0,,27,85,59,,687064
Andrew Kittredge,"Jul 10, 2026",BAL,KC,1,0,0,0,1,1.0,1,0,0,0,1,0,0,,4,11,8,,552640
Shota Imanaga,"Jul 10, 2026",CHC,CIN,1,1,0,1,0,5.0,7,1,1,1,5,1,0,,23,102,74,,684007
Trent Thornton,"Jul 10, 2026",CHC,CIN,1,0,0,0,0,1.0,1,0,0,0,0,0,0,,3,7,5,,663423
Jake Woodford,"Jul 10, 2026",CHC,CIN,1,0,0,0,0,2.0,5,3,3,0,3,1,0,,11,43,28,,663765
Hunter Greene,"Jul 10, 2026",CIN,CHC,1,1,1,0,0,7.0,3,0,0,1,12,0,0,,25,93,68,,668881
Emilio Pagán,"Jul 10, 2026",CIN,CHC,1,0,0,0,0,1.0,0,0,0,0,3,0,0,,3,15,9,,641941
Brock Burke,"Jul 10, 2026",CIN,CHC,1,0,0,0,0,1.0,1,0,0,0,1,0,0,,4,12,9,,656271
José A. Ferrer,"Jul 10, 2026",SEA,TB,1,0,0,0,0,0.1,4,3,3,0,0,1,0,,5,10,8,,678606
Nick Davila,"Jul 10, 2026",SEA,TB,1,0,0,0,0,0.2,0,0,0,0,0,0,0,,2,9,8,,689546
Cole Wilcox,"Jul 10, 2026",SEA,TB,1,0,0,0,0,1.0,1,0,0,0,0,0,0,,4,17,12,,677961
Luis Castillo,"Jul 10, 2026",SEA,TB,1,1,0,1,0,5.0,9,4,4,1,4,3,0,,25,91,68,,622491
Eduard Bazardo,"Jul 10, 2026",SEA,TB,1,0,0,0,0,1.0,0,0,0,0,2,0,0,,3,13,9,,660825
Nick Martinez,"Jul 10, 2026",TB,SEA,1,1,1,0,0,5.1,4,2,2,1,1,1,0,,20,70,44,,607259
Cole Sulser,"Jul 10, 2026",TB,SEA,1,0,0,0,0,0.2,0,0,0,0,1,0,0,,2,9,7,,642121
Garrett Cleavinger,"Jul 10, 2026",TB,SEA,1,0,0,0,0,1.0,1,0,0,0,2,0,0,,4,15,11,,664076
