RESULT_DATE,PLAYER_NAME,PLAYER_TYPE,OPPONENT,PA,AB,H,R,RBI,HR,BB,HBP,SO,SB,DOUBLES,TRIPLES,SINGLES,TOTAL_BASES,H_PLUS_R_PLUS_RBI,HITTER_FANTASY_PP,SOURCE_FILE,IP,OUTS,K,ER,HITS_ALLOWED,HR_ALLOWED,PITCHES,WIN,QUALITY_START,PITCHER_FANTASY_PP
2026-07-10,A.J. EWING,HITTER,BOS,4.0,4.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ADLEY RUTSCHMAN,HITTER,KC,4.0,3.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALAN RODEN,HITTER,LAA,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALEC BOHM,HITTER,DET,4.0,3.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALEC BURLESON,HITTER,ATL,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALEJANDRO KIRK,HITTER,SD,4.0,4.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALEX BREGMAN,HITTER,CIN,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALEX CALL,HITTER,AZ,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ALEX FREELAND,HITTER,AZ,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,AMED ROSARIO,HITTER,WSH,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ANDREW BENINTENDI,HITTER,ATH,5.0,5.0,2.0,2.0,4.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,22.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ANDREW VAUGHN,HITTER,PIT,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ANDRÉS CHAPARRO,HITTER,NYY,2.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ANDY PAGES,HITTER,AZ,4.0,4.0,3.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,20.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ANTHONY SEIGLER,HITTER,NYM,5.0,5.0,2.0,2.0,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,21.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,ANTHONY VOLPE,HITTER,WSH,2.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,AUSTIN HEDGES,HITTER,MIA,3.0,3.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
