projection_id,league,league_id,player_name,player_id,team,position,stat_type,line_score,projection_type,odds_type,start_time,game_description,description,is_live,status,board_time,updated_at,flash_sale_line_score,discount_percentage,source,captured_at_utc,line_tier,is_standard_line,slate_date,prop_key
13126612,WNBA,3,Allisha Gray,237832,ATL,G,3-PT Attempted,5.5,Single Stat,standard,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-02T07:57:00.000-04:00,2026-07-13T10:34:20.723-04:00,,,PrizePicks,2026-07-13 18:51:13.088000+00:00,STANDARD,True,2026-07-13,WNBA|allisha gray|3-pt attempted|5.5|standard
13119295,WNBA,3,Allisha Gray,237832,ATL,G,3-PT Made,1.5,Single Stat,goblin,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.408-04:00,2026-07-12T19:01:01.254-04:00,,,PrizePicks,2026-07-13 18:51:13.089000+00:00,GOBLIN,False,2026-07-13,WNBA|allisha gray|3-pt made|1.5|goblin
13119270,WNBA,3,Allisha Gray,237832,ATL,G,3-PT Made,2.5,Single Stat,demon,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.102-04:00,2026-07-12T13:32:47.201-04:00,,,PrizePicks,2026-07-13 18:51:13.089000+00:00,DEMON,False,2026-07-13,WNBA|allisha gray|3-pt made|2.5|demon
13119300,WNBA,3,Allisha Gray,237832,ATL,G,3-PT Made,3.5,Single Stat,demon,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.408-04:00,2026-07-12T13:32:47.525-04:00,,,PrizePicks,2026-07-13 18:51:13.089000+00:00,DEMON,False,2026-07-13,WNBA|allisha gray|3-pt made|3.5|demon
13119296,WNBA,3,Allisha Gray,237832,ATL,G,3-PT Made,4.5,Single Stat,demon,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.408-04:00,2026-07-12T20:17:53.593-04:00,,,PrizePicks,2026-07-13 18:51:13.088000+00:00,DEMON,False,2026-07-13,WNBA|allisha gray|3-pt made|4.5|demon
13119289,WNBA,3,Allisha Gray,237832,ATL,G,Assists,1.5,Single Stat,goblin,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.266-04:00,2026-07-12T13:32:47.443-04:00,,,PrizePicks,2026-07-13 18:51:13.089000+00:00,GOBLIN,False,2026-07-13,WNBA|allisha gray|assists|1.5|goblin
13119387,WNBA,3,Allisha Gray,237832,ATL,G,Assists,2.5,Single Stat,standard,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.740-04:00,2026-07-13T06:14:14.557-04:00,,,PrizePicks,2026-07-13 18:51:13.089000+00:00,STANDARD,True,2026-07-13,WNBA|allisha gray|assists|2.5|standard
13119339,WNBA,3,Allisha Gray,237832,ATL,G,Assists,3.5,Single Stat,demon,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:32:47.740-04:00,2026-07-12T13:32:47.846-04:00,,,PrizePicks,2026-07-13 18:51:13.089000+00:00,DEMON,False,2026-07-13,WNBA|allisha gray|assists|3.5|demon
13119754,WNBA,3,Allisha Gray,237832,ATL,G,Assists,4.5,Single Stat,demon,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:59:02.356-04:00,2026-07-12T17:04:01.807-04:00,,,PrizePicks,2026-07-13 18:51:13.088000+00:00,DEMON,False,2026-07-13,WNBA|allisha gray|assists|4.5|demon
13119730,WNBA,3,Allisha Gray,237832,ATL,G,Assists,5.5,Single Stat,demon,2026-07-13 23:00:00+00:00,LAS,LAS,False,pre_game,2026-07-12T13:59:01.759-04:00,2026-07-12T17:04:01.703-04:00,,,PrizePicks,2026-07-13 18:51:13.088000+00:00,DEMON,False,2026-07-13,WNBA|allisha gray|assists|5.5|demon
