slate_date,league,player_name,team,position,stat_type,line_score,start_time,game_description,projection_id,player_id,prop_key
2026-07-13,WNBA,Allisha Gray,ATL,G,3-PT Attempted,5.5,2026-07-13 23:00:00+00:00,LAS,13126612,237832,WNBA|allisha gray|3-pt attempted|5.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Assists,2.5,2026-07-13 23:00:00+00:00,LAS,13119387,237832,WNBA|allisha gray|assists|2.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Blks+Stls,1.5,2026-07-13 23:00:00+00:00,LAS,13126447,237832,WNBA|allisha gray|blks+stls|1.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,FG Attempted,15.5,2026-07-13 23:00:00+00:00,LAS,13126606,237832,WNBA|allisha gray|fg attempted|15.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,FG Made,7.0,2026-07-13 23:00:00+00:00,LAS,13126600,237832,WNBA|allisha gray|fg made|7.0|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Fantasy Score,33.5,2026-07-13 23:00:00+00:00,LAS,13123775,237832,WNBA|allisha gray|fantasy score|33.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Free Throws Attempted,5.5,2026-07-13 23:00:00+00:00,LAS,13126618,237832,WNBA|allisha gray|free throws attempted|5.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Free Throws Made,4.5,2026-07-13 23:00:00+00:00,LAS,13126594,237832,WNBA|allisha gray|free throws made|4.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Points,20.5,2026-07-13 23:00:00+00:00,LAS,13119669,237832,WNBA|allisha gray|points|20.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Pts+Asts,24.0,2026-07-13 23:00:00+00:00,LAS,13119292,237832,WNBA|allisha gray|pts+asts|24.0|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Pts+Rebs,24.5,2026-07-13 23:00:00+00:00,LAS,13119272,237832,WNBA|allisha gray|pts+rebs|24.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Pts+Rebs+Asts,27.5,2026-07-13 23:00:00+00:00,LAS,13119291,237832,WNBA|allisha gray|pts+rebs+asts|27.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Rebounds,4.0,2026-07-13 23:00:00+00:00,LAS,13123756,237832,WNBA|allisha gray|rebounds|4.0|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Rebs+Asts,6.5,2026-07-13 23:00:00+00:00,LAS,13119278,237832,WNBA|allisha gray|rebs+asts|6.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Turnovers,1.5,2026-07-13 23:00:00+00:00,LAS,13126444,237832,WNBA|allisha gray|turnovers|1.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Two Pointers Attempted,10.0,2026-07-13 23:00:00+00:00,LAS,13126629,237832,WNBA|allisha gray|two pointers attempted|10.0|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Two Pointers Made,5.5,2026-07-13 23:00:00+00:00,LAS,13126624,237832,WNBA|allisha gray|two pointers made|5.5|standard
2026-07-13,WNBA,Allisha Gray + Dearica Hamby,ATL/LAS,G,Points (Combo),36.5,2026-07-13 23:00:00+00:00,LAS/ATL,13124263,328311,WNBA|allisha gray + dearica hamby|points (combo)|36.5|standard
2026-07-13,WNBA,Allisha Gray + Nneka Ogwumike,ATL/LAS,G,Points (Combo),38.5,2026-07-13 23:00:00+00:00,LAS/ATL,13124257,328308,WNBA|allisha gray + nneka ogwumike|points (combo)|38.5|standard
2026-07-13,WNBA,Allisha Gray + Rae Burrell,ATL/LAS,G,Points (Combo),35.5,2026-07-13 23:00:00+00:00,LAS/ATL,13124273,328316,WNBA|allisha gray + rae burrell|points (combo)|35.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Fantasy Score,21.5,2026-07-13 23:00:00+00:00,ATL,13126142,317325,WNBA|ariel atkins|fantasy score|21.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Offensive Rebounds,0.5,2026-07-13 23:00:00+00:00,ATL,13126250,317325,WNBA|ariel atkins|offensive rebounds|0.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Points,10.0,2026-07-13 23:00:00+00:00,ATL,13119019,317325,WNBA|ariel atkins|points|10.0|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Pts+Rebs,13.5,2026-07-13 23:00:00+00:00,ATL,13124297,317325,WNBA|ariel atkins|pts+rebs|13.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Pts+Rebs+Asts,15.5,2026-07-13 23:00:00+00:00,ATL,13124300,317325,WNBA|ariel atkins|pts+rebs+asts|15.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Blks+Stls,1.5,2026-07-13 23:00:00+00:00,ATL,13126465,237841,WNBA|dearica hamby|blks+stls|1.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Defensive Rebounds,6.0,2026-07-13 23:00:00+00:00,ATL,13126231,237841,WNBA|dearica hamby|defensive rebounds|6.0|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,FG Attempted,12.5,2026-07-13 23:00:00+00:00,ATL,13126607,237841,WNBA|dearica hamby|fg attempted|12.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,FG Made,6.0,2026-07-13 23:00:00+00:00,ATL,13126601,237841,WNBA|dearica hamby|fg made|6.0|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Fantasy Score,33.5,2026-07-13 23:00:00+00:00,ATL,13123780,237841,WNBA|dearica hamby|fantasy score|33.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Free Throws Attempted,4.5,2026-07-13 23:00:00+00:00,ATL,13126619,237841,WNBA|dearica hamby|free throws attempted|4.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Free Throws Made,3.5,2026-07-13 23:00:00+00:00,ATL,13126595,237841,WNBA|dearica hamby|free throws made|3.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Points,16.0,2026-07-13 23:00:00+00:00,ATL,13119958,237841,WNBA|dearica hamby|points|16.0|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Pts+Rebs,23.5,2026-07-13 23:00:00+00:00,ATL,13128468,237841,WNBA|dearica hamby|pts+rebs|23.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Pts+Rebs+Asts,26.5,2026-07-13 23:00:00+00:00,ATL,13118994,237841,WNBA|dearica hamby|pts+rebs+asts|26.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Rebounds,8.0,2026-07-13 23:00:00+00:00,ATL,13123759,237841,WNBA|dearica hamby|rebounds|8.0|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Assists,5.5,2026-07-13 23:00:00+00:00,ATL,13124325,317929,WNBA|erica wheeler|assists|5.5|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Fantasy Score,21.5,2026-07-13 23:00:00+00:00,ATL,13126144,317929,WNBA|erica wheeler|fantasy score|21.5|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Points,9.0,2026-07-13 23:00:00+00:00,ATL,13124322,317929,WNBA|erica wheeler|points|9.0|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Pts+Rebs+Asts,16.5,2026-07-13 23:00:00+00:00,ATL,13126135,317929,WNBA|erica wheeler|pts+rebs+asts|16.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Assists,8.0,2026-07-13 23:00:00+00:00,LAS,13121301,197522,WNBA|jordin canada|assists|8.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,FG Attempted,9.5,2026-07-13 23:00:00+00:00,LAS,13126608,197522,WNBA|jordin canada|fg attempted|9.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,FG Made,4.0,2026-07-13 23:00:00+00:00,LAS,13126602,197522,WNBA|jordin canada|fg made|4.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Fantasy Score,34.0,2026-07-13 23:00:00+00:00,LAS,13123776,197522,WNBA|jordin canada|fantasy score|34.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Free Throws Attempted,3.5,2026-07-13 23:00:00+00:00,LAS,13126620,197522,WNBA|jordin canada|free throws attempted|3.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Free Throws Made,2.5,2026-07-13 23:00:00+00:00,LAS,13126596,197522,WNBA|jordin canada|free throws made|2.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Points,11.5,2026-07-13 23:00:00+00:00,LAS,13119323,197522,WNBA|jordin canada|points|11.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Pts+Asts,20.5,2026-07-13 23:00:00+00:00,LAS,13119276,197522,WNBA|jordin canada|pts+asts|20.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Pts+Rebs,15.5,2026-07-13 23:00:00+00:00,LAS,13119288,197522,WNBA|jordin canada|pts+rebs|15.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Pts+Rebs+Asts,24.0,2026-07-13 23:00:00+00:00,LAS,13119303,197522,WNBA|jordin canada|pts+rebs+asts|24.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Rebounds,4.0,2026-07-13 23:00:00+00:00,LAS,13123757,197522,WNBA|jordin canada|rebounds|4.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Rebs+Asts,12.5,2026-07-13 23:00:00+00:00,LAS,13119334,197522,WNBA|jordin canada|rebs+asts|12.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Turnovers,2.5,2026-07-13 23:00:00+00:00,LAS,13126445,197522,WNBA|jordin canada|turnovers|2.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Two Pointers Attempted,6.0,2026-07-13 23:00:00+00:00,LAS,13126630,197522,WNBA|jordin canada|two pointers attempted|6.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Two Pointers Made,3.0,2026-07-13 23:00:00+00:00,LAS,13126625,197522,WNBA|jordin canada|two pointers made|3.0|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,3-PT Attempted,4.0,2026-07-13 23:00:00+00:00,LAS,13127106,65842,WNBA|naz hillmon|3-pt attempted|4.0|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Defensive Rebounds,4.5,2026-07-13 23:00:00+00:00,LAS,13126232,65842,WNBA|naz hillmon|defensive rebounds|4.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Fantasy Score,22.5,2026-07-13 23:00:00+00:00,LAS,13123777,65842,WNBA|naz hillmon|fantasy score|22.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Points,10.5,2026-07-13 23:00:00+00:00,LAS,13119383,65842,WNBA|naz hillmon|points|10.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Pts+Rebs,16.5,2026-07-13 23:00:00+00:00,LAS,13119274,65842,WNBA|naz hillmon|pts+rebs|16.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Pts+Rebs+Asts,18.5,2026-07-13 23:00:00+00:00,LAS,13121307,65842,WNBA|naz hillmon|pts+rebs+asts|18.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Rebounds,6.0,2026-07-13 23:00:00+00:00,LAS,13123758,65842,WNBA|naz hillmon|rebounds|6.0|standard
2026-07-13,WNBA,Naz Hillmon + Dearica Hamby,ATL/LAS,F,Rebounds (Combo),14.0,2026-07-13 23:00:00+00:00,LAS/ATL,13124279,328321,WNBA|naz hillmon + dearica hamby|rebounds (combo)|14.0|standard
2026-07-13,WNBA,Naz Hillmon + Nneka Ogwumike,ATL/LAS,F,Rebounds (Combo),15.0,2026-07-13 23:00:00+00:00,LAS/ATL,13124280,328322,WNBA|naz hillmon + nneka ogwumike|rebounds (combo)|15.0|standard
2026-07-13,WNBA,Nneka Ogwumike,LAS,F,3-PT Attempted,4.0,2026-07-13 23:00:00+00:00,ATL,13126615,64380,WNBA|nneka ogwumike|3-pt attempted|4.0|standard
2026-07-13,WNBA,Nneka Ogwumike,LAS,F,Defensive Rebounds,6.5,2026-07-13 23:00:00+00:00,ATL,13126233,64380,WNBA|nneka ogwumike|defensive rebounds|6.5|standard
