slate_date,league,player_name,team,position,stat_type,line_score,start_time,game_description,projection_id,player_id,prop_key
2026-07-13,WNBA,Allisha Gray,ATL,G,Fantasy Score,33.5,2026-07-13 23:00:00+00:00,LAS,13123775,237832,WNBA|allisha gray|fantasy score|33.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Points,20.5,2026-07-13 23:00:00+00:00,LAS,13119669,237832,WNBA|allisha gray|points|20.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Pts+Rebs,24.5,2026-07-13 23:00:00+00:00,LAS,13119272,237832,WNBA|allisha gray|pts+rebs|24.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Pts+Rebs+Asts,27.5,2026-07-13 23:00:00+00:00,LAS,13119291,237832,WNBA|allisha gray|pts+rebs+asts|27.5|standard
2026-07-13,WNBA,Allisha Gray,ATL,G,Rebounds,4.0,2026-07-13 23:00:00+00:00,LAS,13123756,237832,WNBA|allisha gray|rebounds|4.0|standard
2026-07-13,WNBA,Allisha Gray + Dearica Hamby,ATL/LAS,G,Points (Combo),37.5,2026-07-13 23:00:00+00:00,LAS/ATL,13124263,328311,WNBA|allisha gray + dearica hamby|points (combo)|37.5|standard
2026-07-13,WNBA,Allisha Gray + Nneka Ogwumike,ATL/LAS,G,Points (Combo),38.5,2026-07-13 23:00:00+00:00,LAS/ATL,13124257,328308,WNBA|allisha gray + nneka ogwumike|points (combo)|38.5|standard
2026-07-13,WNBA,Allisha Gray + Rae Burrell,ATL/LAS,G,Points (Combo),35.5,2026-07-13 23:00:00+00:00,LAS/ATL,13124273,328316,WNBA|allisha gray + rae burrell|points (combo)|35.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Points,10.5,2026-07-13 23:00:00+00:00,ATL,13119019,317325,WNBA|ariel atkins|points|10.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Pts+Rebs,13.5,2026-07-13 23:00:00+00:00,ATL,13124297,317325,WNBA|ariel atkins|pts+rebs|13.5|standard
2026-07-13,WNBA,Ariel Atkins,LAS,G,Pts+Rebs+Asts,15.5,2026-07-13 23:00:00+00:00,ATL,13124300,317325,WNBA|ariel atkins|pts+rebs+asts|15.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Fantasy Score,33.5,2026-07-13 23:00:00+00:00,ATL,13123780,237841,WNBA|dearica hamby|fantasy score|33.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Points,16.0,2026-07-13 23:00:00+00:00,ATL,13119958,237841,WNBA|dearica hamby|points|16.0|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Pts+Rebs,24.5,2026-07-13 23:00:00+00:00,ATL,13118975,237841,WNBA|dearica hamby|pts+rebs|24.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Pts+Rebs+Asts,27.5,2026-07-13 23:00:00+00:00,ATL,13118994,237841,WNBA|dearica hamby|pts+rebs+asts|27.5|standard
2026-07-13,WNBA,Dearica Hamby,LAS,F,Rebounds,8.0,2026-07-13 23:00:00+00:00,ATL,13123759,237841,WNBA|dearica hamby|rebounds|8.0|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Assists,5.5,2026-07-13 23:00:00+00:00,ATL,13124325,317929,WNBA|erica wheeler|assists|5.5|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Points,8.5,2026-07-13 23:00:00+00:00,ATL,13124322,317929,WNBA|erica wheeler|points|8.5|standard
2026-07-13,WNBA,Erica Wheeler,LAS,G,Pts+Asts,14.5,2026-07-13 23:00:00+00:00,ATL,13124324,317929,WNBA|erica wheeler|pts+asts|14.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Assists,8.0,2026-07-13 23:00:00+00:00,LAS,13121301,197522,WNBA|jordin canada|assists|8.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Fantasy Score,33.0,2026-07-13 23:00:00+00:00,LAS,13123776,197522,WNBA|jordin canada|fantasy score|33.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Points,11.5,2026-07-13 23:00:00+00:00,LAS,13119323,197522,WNBA|jordin canada|points|11.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Pts+Asts,19.5,2026-07-13 23:00:00+00:00,LAS,13119276,197522,WNBA|jordin canada|pts+asts|19.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Pts+Rebs,15.5,2026-07-13 23:00:00+00:00,LAS,13119288,197522,WNBA|jordin canada|pts+rebs|15.5|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Pts+Rebs+Asts,24.0,2026-07-13 23:00:00+00:00,LAS,13119303,197522,WNBA|jordin canada|pts+rebs+asts|24.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Rebounds,4.0,2026-07-13 23:00:00+00:00,LAS,13123757,197522,WNBA|jordin canada|rebounds|4.0|standard
2026-07-13,WNBA,Jordin Canada,ATL,G,Rebs+Asts,12.0,2026-07-13 23:00:00+00:00,LAS,13119334,197522,WNBA|jordin canada|rebs+asts|12.0|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Fantasy Score,22.5,2026-07-13 23:00:00+00:00,LAS,13123777,65842,WNBA|naz hillmon|fantasy score|22.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Points,10.5,2026-07-13 23:00:00+00:00,LAS,13119383,65842,WNBA|naz hillmon|points|10.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Pts+Rebs,17.0,2026-07-13 23:00:00+00:00,LAS,13119274,65842,WNBA|naz hillmon|pts+rebs|17.0|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Pts+Rebs+Asts,18.5,2026-07-13 23:00:00+00:00,LAS,13121307,65842,WNBA|naz hillmon|pts+rebs+asts|18.5|standard
2026-07-13,WNBA,Naz Hillmon,ATL,F,Rebounds,6.0,2026-07-13 23:00:00+00:00,LAS,13123758,65842,WNBA|naz hillmon|rebounds|6.0|standard
2026-07-13,WNBA,Naz Hillmon + Dearica Hamby,ATL/LAS,F,Rebounds (Combo),14.0,2026-07-13 23:00:00+00:00,LAS/ATL,13124279,328321,WNBA|naz hillmon + dearica hamby|rebounds (combo)|14.0|standard
2026-07-13,WNBA,Naz Hillmon + Nneka Ogwumike,ATL/LAS,F,Rebounds (Combo),15.0,2026-07-13 23:00:00+00:00,LAS/ATL,13124280,328322,WNBA|naz hillmon + nneka ogwumike|rebounds (combo)|15.0|standard
2026-07-13,WNBA,Nneka Ogwumike,LAS,F,Fantasy Score,34.5,2026-07-13 23:00:00+00:00,ATL,13123782,64380,WNBA|nneka ogwumike|fantasy score|34.5|standard
